Entry,Hits
/var/cache,0
/var/run,0
/var/tmp,0
/var/lib/NetworkManager,0
/var/lib/upower,0
/var/log,0
/opt/porteus-scripts,0
/usr/share/mime,0
/usr/share/glib-2\.0/schemas,0
/usr/lib64/libXc,0
/usr/lib64/libudev,0
/var/db/sudo/lectured/1000,0
/home/guest/\.config/dolphinrc,0
/home/guest/\.config/konsolerc,0
/home/guest/\.config/featherpad/fp\.conf,0
\.config/glib-2\.0/settings/keyfile,0
\.bash_history,0
\.cache,146
\.dbus,0
\.gvfs,0
\.gconf,0
\.gnupg,1
\.local/share,0
\.xsession,0
/home/guest/\.config,29
/usr/local/save-changesnew/logs\.gpg,0
/usr/local/save-changesnew/recent\.gpg,0
/usr/local/save-changesnew/stats\.gpg,0
/usr/local/save-changesnew/flth\.csv,0
/root/\.auth,0
/root/\.config,0
/root/\.lesshst,0
/root/\.xauth,0
